cardnumber;email;phonenumber;username;securitynumber;password;role
5000 4000 3000 0000;docent@howest.be;(050) 123456;JohanV;0007;Docent@1;admin
5192 3739 0729 0918;ante.ipsum.primis@et.co.uk;(05659) 1336459;Heidi;5192;Nullampwd@1;visitor
5491 9114 0807 4410;Suspendisse.commodo@senectusetnetus.ca;(0093) 00792121;Jenna;3203;maQssapwd@1;visitor
5381 5977 2256 3486;et.ultrices.posuere@duisemperet.co.uk;(098) 98208793;Camden;1143;torqQuentpwd@1;visitor
5574 7816 2799 4932;elit.pharetra@Phasellusliberomauris.net;(039) 18381832;Yuli;8117;Azertypwd@1;visitor
5374 3109 8933 5005;Nullam.lobortis.quam@iaculis.org;(05828) 4930523;Yoshi;7622;auctorApwd@1;visitor
5372 0323 8706 2021;Proin.sed.turpis@Pellentesqueut.org;(026) 89967916;Gray;7806;mollisSpwd@1;visitor
5428 4476 3315 2505;ridiculus.mus.Donec@porttitorinterdumSed.org;(06208) 0946295;Kylie;8873;viverraSpwd@1;visitor
5365 9285 6522 0035;Etiam.ligula.tortor@pede.com;(01447) 8886541;Oleg;2250;qsdfghSpwd@1;visitor
5177 6206 7946 6855;mi.pede@semper.com;(03436) 2204817;Sara;9391;cubiliaSpwd&1;visitor
5164 6704 1879 9913;lorem.semper.auctor@Crasdolordolor.edu;(042) 44838829;Moses;6356;acazerStypwd&1;visitor
5232 7221 8282 0496;at.augue.id@velest.edu;(0178) 00009365;Chiquita;4955;etSwxcvpwd&1;visitor
5105 7191 6228 4663;enim@in.edu;(075) 13947447;Lilah;1462;tinSciduntpwd&1;visitor
5300 0671 4253 7039;Sed@velitegetlaoreet.org;(039974) 148421;Phoebe;1908;sSodalespwd&1;visitor
5214 7229 9654 0829;a.feugiat@inconsequat.ca;(030276) 705982;Linda;4293;conSvallispwd&1;visitor
5205 0330 3441 2315;aliquet@odio.co.uk;(0274) 01091567;Marah;1547;necSpwd&1;visitor
5482 2849 5575 9853;vitae.nibh@Fusce.edu;(03727) 7523059;Brynne;3973;mattisSpwd&1;visitor
5418 1634 3090 7809;luctus.Curabitur.egestas@Maurisvelturpis.ca;(037987) 643351;Neve;7911;qsdfghSpwd&1;visitor
5478 9851 7289 7559;Curabitur.vel.lectus@a.org;(0745) 90993443;Shelly;7682;pedeSpwd&1;visitor
5461 0301 4994 9453;Donec.est.mauris@CrasinterdumNunc.ca;(05600) 5222203;Ethan;5667;necazSpwd&2;visitor
5465 7389 6507 1261;diam@Integersem.ca;(066) 52619479;Giovanni;3528;nuncSpwd&2;visitor
5212 6603 7576 5009;tristique.ac@esttemporbibendum.org;(05690) 2606654;David;3204;dolorSpwd&2;visitor
5204 3625 7830 1092;magna.nec.quam@turpisegestas.org;(072) 08430829;Kessie;1234;duiSpwd&2;visitor
5557 0518 5049 2967;Integer.mollis@pellentesquetellus.org;(02614) 8610889;Steven;9616;diamSpwd&2;visitor
5326 4870 4289 8622;convallis.dolor.Quisque@massa.ca;(075) 45200135;Eleanor;4443;volutpatSpwd&2;visitor
5381 3655 8112 3184;urna.Ut@egestasrhoncus.co.uk;(030736) 513379;Isabella;7322;eratSpwd&2;visitor
5331 4237 5695 0302;nascetur.ridiculus.mus@dignissimtemporarcu.edu;(038684) 809657;Laura;8665;vehiculaSpwd&2;visitor
5121 0416 3842 3167;Aliquam.erat.volutpat@ullamcorpermagnaSed.com;(05929) 0326856;Cassandra;6836;mollisSpwd&2;visitor
5438 1031 1061 2150;congue@tempuseu.org;(033189) 759987;Samantha;5633;tinciduntSpwd&2;visitor
5305 8389 8905 6498;arcu@Nuncquis.org;(030207) 421679;Ivory;8335;Sedpwd&3;customer
5351 0899 4927 4093;massa.Vestibulum@euaugue.net;(07169) 5781126;Jesse;1384;ametSedpwd&3;customer
5111 2353 7580 8919;eget@Aeneanegestas.co.uk;(095) 16340155;April;8822;ProinSedpwd&3;customer
5406 0495 5006 3859;eu@musProinvel.org;(0555) 19375385;Kieran;9524;volutpatSedpwd&3;customer
5282 0431 2972 2656;orci.Ut.sagittis@eget.com;(0035) 33922242;Rachel;2289;AliquamSedpwd&3;customer
5182 3605 4307 2885;In.ornare.sagittis@vel.ca;(02506) 8156986;Alec;8972;pedeSedpwd&3;customer
5232 6742 0842 0316;tincidunt.adipiscing.Mauris@sapienAeneanmassa.co.uk;(018) 88849749;Joelle;6258;senectusSedpwd&3;customer
5111 2479 2059 5552;ante.ipsum@venenatislacus.com;(030) 75428453;Cruz;5127;acccScpwd&3;customer
5195 6088 3274 5115;pharetra@nonvestibulumnec.ca;(08467) 5024612;Lacota;2905;dolorSpwd&3;customer
5489 6028 4600 4135;ligula@duilectus.ca;(046) 32163033;Carla;6803;placeratSpwd&3;customer
5290 6120 2974 6765;ullamcorper.Duis.cursus@Proin.co.uk;(015) 27487022;Quyn;4228;Donecpwd&3;customer
5441 5805 9879 7287;In.scelerisque@dui.org;(01693) 4623273;Hop;3100;quiszSpwd&3;customer
5522 0491 2997 3231;quam.elementum@diamDuismi.edu;(05696) 4528209;Upton;5860;Senimpwd&3;customer
5542 9911 3515 4999;Phasellus.fermentum@Phasellus.edupwd&3;(0285) 19565162;Destiny;6094;Stinciduntpwd&3;customer
5264 4756 1076 2993;felis.Nulla.tempor@Nullam.co.uk;(0961) 28472198;Micah;8798;nullaSpwd&3;customer
5201 1385 7581 3542;nascetur.ridiculus@dignissimlacusAliquam.org;(041) 48311913;Ingrid;2782;ipsumSpwd&3;customer
5595 1080 4205 3992;Curabitur.consequat.lectus@ornare.edu;(04447) 8582289;Clio;5930;duisSpwd&3;customer
5282 8109 8772 4846;vel@fermentumfermentum.net;(02006) 0232375;Xanthus;4203;dolorSpwd&3;customer
5522 2002 9239 9650;molestie.orci@utdolordapibus.ca;(0057) 17708858;Hoyt;1314;utterSpwd&3;customer
5339 1053 2710 5480;Cras.lorem.lorem@aliquetPhasellus.ca;(026) 27645325;Daria;8889;Amaaipwd&4;customer
5209 9552 4404 2167;quis@vitaenibhDonec.edu;(032596) 161833;Ebony;4584;Magnapwd&4;customer
5102 4434 3284 5327;quam@pedePraesent.net;(0819) 16613161;Kibo;7765;Azertypwd&4;customer
